,Id,Type,Mode,Text,Valid,Result
0,1,aaa,1,"All flowers are plants. 
All roses are flowers. 
Therefore, all roses are plants. ",Yes,1
1,2,aaa,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",Yes,1
2,3,aaa,1,"All people are mortals. 
All Greeks are people. 
Therefore, all Greeks are mortals. ",Yes,1
3,4,aae,1,"All flowers are plants. 
All roses are flowers. 
Therefore, no roses are plants. ",No,0
4,5,aae,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
5,6,aae,1,"All people are mortals. 
All Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
6,7,aai,1,"All flowers are plants. 
All roses are flowers. 
Therefore, some roses are plants. ",Yes,1
7,8,aai,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are warm-blooded animals. ",Yes,1
8,9,aai,1,"All people are mortals. 
All Greeks are people. 
Therefore, some Greeks are mortals. ",Yes,1
9,10,aao,1,"All flowers are plants. 
All roses are flowers. 
Therefore, some roses are not plants. ",No,0
10,11,aao,1,"All mammals are warm-blooded animals. 
All dogs are mammals. 
Therefore, some dogs are not warm-blooded animals. ",No,0
11,12,aao,1,"All people are mortals. 
All Greeks are people. 
Therefore, some Greeks are not mortals. ",No,0
12,13,aea,1,"All flowers are plants. 
No roses are flowers. 
Therefore, all roses are plants. ",No,0
13,14,aea,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, all dogs are warm-blooded animals. ",No,0
14,15,aea,1,"All people are mortals. 
No Greeks are people. 
Therefore, all Greeks are mortals. ",No,0
15,16,aee,1,"All flowers are plants. 
No roses are flowers. 
Therefore, no roses are plants. ",No,0
16,17,aee,1,"All mammals are warm-blooded animals. 
No dogs are mammals. 
Therefore, no dogs are warm-blooded animals. ",No,0
17,18,aee,1,"All people are mortals. 
No Greeks are people. 
Therefore, no Greeks are mortals. ",No,0
